tenure_months,monthly_charges,total_charges,num_products,support_calls,payment_delay_days,contract_type,internet_service,online_security,tech_support,churn
33,52.51,1651.39,3,3,10,1,2,0,1,0
6,98.42,611.31,2,6,26,2,2,0,0,1
2,69.64,135.29,1,1,9,2,2,1,1,0
19,56.0,1023.41,1,1,15,2,2,0,1,0
31,27.56,878.21,3,1,6,2,0,0,1,0
14,57.09,823.15,5,5,22,1,2,0,0,0
30,79.11,2434.83,4,4,17,2,1,0,0,0
17,57.69,1008.8,4,8,20,2,0,1,1,0
68,44.73,3038.3,4,0,14,2,0,0,0,0
48,119.22,5720.45,2,8,22,2,2,0,1,0
61,76.93,4810.95,2,8,26,0,0,1,1,0
20,59.31,1142.21,2,2,12,1,1,1,0,0
61,104.71,6273.51,4,8,2,0,2,0,1,0
4,30.76,118.87,3,7,14,2,2,1,1,0
18,119.02,2120.48,2,2,19,2,0,0,1,0
10,40.46,410.39,3,2,17,2,1,1,1,0
28,74.21,2033.85,3,2,27,2,1,1,1,0
72,56.85,3958.28,5,0,21,0,0,0,1,0
12,69.97,827.03,3,1,3,1,2,1,1,0
15,20.35,306.63,3,5,27,2,0,1,1,0
1,103.83,105.03,2,3,8,0,0,0,0,1
72,70.0,4986.62,1,2,10,2,0,0,1,0
40,89.59,3707.58,4,0,1,1,0,1,1,0
24,82.07,1944.22,4,9,25,2,2,0,1,0
2,91.66,186.14,4,1,7,2,0,0,0,1
44,84.28,3674.76,1,2,12,1,2,0,0,0
28,113.41,3303.87,3,0,7,2,2,1,0,0
62,36.11,2327.53,4,1,27,2,1,1,1,0
54,85.75,4535.22,5,3,1,1,2,1,0,0
24,65.6,1555.12,4,3,16,2,1,0,0,0
25,35.59,927.21,5,9,29,0,2,0,1,0
23,65.7,1461.78,5,9,10,2,2,1,0,0
30,48.85,1434.0,2,7,12,0,2,0,1,0
13,94.11,1197.74,3,5,11,2,1,0,0,0
55,29.39,1592.88,3,6,13,1,2,0,0,0
25,49.89,1308.15,4,1,24,0,1,1,0,0
53,113.94,6073.52,4,3,21,2,1,0,0,0
54,99.73,5629.69,3,2,13,2,2,0,0,0
23,38.13,890.7,3,8,12,2,0,1,1,0
23,27.57,663.07,2,3,5,2,1,1,1,0
71,90.49,6467.9,2,2,21,0,2,0,1,0
39,106.67,3976.05,4,0,0,1,0,1,1,0
62,111.64,6624.65,3,9,17,0,1,1,0,0
52,49.52,2602.39,2,2,1,0,2,0,0,0
8,21.5,175.66,5,3,30,0,1,0,1,1
12,97.76,1172.55,3,7,2,2,2,0,0,0
63,49.7,3187.75,5,8,2,2,0,1,0,0
39,119.31,4421.23,4,3,0,2,1,1,1,0
65,99.71,6162.42,4,0,12,0,0,0,1,0
29,57.84,1743.14,5,7,5,2,1,1,1,0
63,37.83,2502.36,4,1,11,1,0,1,0,0
57,65.47,3670.77,5,7,27,1,0,0,0,0
14,89.6,1194.06,5,4,17,0,0,0,0,1
60,75.06,4639.87,1,1,22,0,0,0,1,0
67,26.83,1780.48,4,2,23,2,2,1,0,0
6,51.32,320.51,1,9,4,2,2,1,1,0
15,97.3,1499.95,4,1,17,1,2,0,0,0
38,72.51,2774.0,2,3,20,1,0,0,1,0
10,27.3,264.79,5,8,2,1,2,1,1,0
66,86.61,5822.48,2,2,27,2,1,0,0,0
23,86.59,1932.8,2,7,0,2,1,1,1,0
49,84.12,4271.9,3,3,6,0,2,1,1,0
57,61.55,3544.66,5,9,12,1,0,1,0,0
42,110.28,4838.42,2,6,1,2,0,1,1,0
57,77.68,4405.33,3,0,30,0,0,1,0,0
44,46.25,2095.66,3,0,4,2,1,0,1,0
7,62.48,415.71,5,8,18,2,2,1,0,0
40,116.83,4767.88,3,2,30,2,0,0,1,0
32,99.61,3029.44,4,7,7,1,2,0,1,0
13,92.16,1199.53,5,4,8,2,1,0,0,0
5,65.17,340.58,2,1,15,2,0,1,0,0
39,69.17,2791.94,1,1,2,0,0,0,1,0
16,96.09,1474.92,4,0,17,0,0,1,0,0
35,113.86,4042.16,2,8,10,0,1,0,1,0
29,21.05,603.03,1,5,21,1,1,1,0,0
61,73.92,4624.9,4,5,13,2,2,1,1,0
16,44.31,681.32,4,7,19,0,2,1,0,0
54,118.45,6641.73,4,2,1,2,0,0,0,0
51,36.56,1951.39,1,4,13,2,2,1,1,0
4,102.86,408.78,4,7,20,1,1,1,1,1
37,84.01,3123.67,1,7,19,1,0,1,0,0
30,55.35,1681.54,4,8,1,1,2,0,1,0
23,24.08,540.98,1,2,23,1,1,1,0,0
33,84.24,2897.14,1,7,8,1,1,1,1,0
7,119.06,825.32,3,3,27,0,0,1,1,1
17,49.07,850.35,2,4,15,0,2,0,0,0
46,91.26,4178.69,2,0,21,0,2,0,1,0
18,85.27,1513.48,3,1,1,0,2,0,1,0
6,25.5,159.86,1,8,12,2,1,1,0,0
48,62.4,3123.25,5,4,15,2,2,1,1,0
70,58.86,4207.37,3,0,26,0,0,1,0,0
13,90.99,1138.51,4,9,6,0,0,0,0,1
15,59.19,856.64,5,6,20,1,2,0,1,0
31,108.64,3381.05,4,4,2,0,0,1,1,0
53,37.85,1926.91,4,4,18,2,0,1,1,0
22,119.87,2610.44,2,3,0,2,0,1,1,0
29,72.52,2159.32,3,3,27,2,1,1,0,0
15,33.0,502.02,3,0,27,1,1,1,1,0
43,111.93,4839.26,2,8,12,2,1,0,1,0
24,66.38,1649.84,4,9,2,1,1,0,1,0
8,40.15,326.39,3,7,24,1,2,0,0,1
61,83.65,5142.02,2,6,29,1,1,1,1,0
53,104.16,5290.46,5,8,24,1,0,1,0,0
56,113.4,6381.13,5,5,29,2,0,1,0,0
4,22.73,89.27,1,2,22,1,0,1,1,0
35,23.84,872.47,3,3,18,1,2,1,1,0
14,29.47,424.16,1,4,27,0,2,1,0,0
32,27.72,884.92,3,8,20,2,1,1,0,0
56,113.74,6167.83,3,7,13,2,2,1,1,0
16,96.88,1574.37,2,8,17,1,1,0,0,0
55,65.88,3717.41,2,9,6,2,1,1,0,0
1,100.53,102.11,4,8,19,1,1,1,0,1
55,107.57,5798.67,3,4,1,1,1,1,1,0
21,32.38,690.34,1,6,0,1,0,0,0,0
69,62.94,4250.72,3,8,11,2,0,0,0,0
65,119.48,7823.35,3,8,27,0,2,1,0,0
46,37.18,1646.4,2,9,0,0,1,1,1,0
72,94.4,7075.14,1,5,9,2,0,0,0,0
48,119.24,5552.58,2,8,26,0,1,0,0,0
64,21.16,1405.67,1,7,16,2,2,1,1,0
38,97.67,3578.12,2,9,23,1,2,0,0,0
2,51.88,104.05,2,8,12,0,2,1,0,1
5,68.34,349.84,5,0,23,0,0,0,0,1
62,80.92,4822.48,5,9,6,1,2,1,0,0
72,118.95,8726.7,2,8,25,0,1,1,0,0
32,115.73,3603.73,2,0,27,2,2,0,1,0
23,25.66,575.55,2,8,25,2,0,1,0,0
28,72.9,1993.77,4,1,28,0,0,0,1,0
54,22.75,1262.34,5,4,28,2,0,1,1,0
19,109.42,2052.35,4,2,27,1,0,0,0,0
44,38.86,1647.98,4,6,17,2,1,1,1,0
8,111.02,865.24,5,3,29,1,1,0,1,1
54,108.76,6117.13,3,3,5,1,0,1,1,0
43,116.21,5169.39,3,8,24,1,0,0,1,0
34,110.91,3631.25,3,2,9,0,2,1,1,0
47,73.68,3538.71,2,1,13,1,1,0,0,0
41,73.48,2979.78,1,8,2,0,1,1,0,0
9,75.67,708.92,1,0,9,0,2,0,0,0
18,110.43,1961.52,1,9,19,0,1,0,1,1
60,49.05,2951.24,1,0,15,1,0,1,1,0
3,50.51,144.48,5,9,18,2,0,0,1,1
25,39.96,971.4,2,0,10,2,2,1,0,0
61,72.6,4591.2,5,6,0,1,2,1,1,0
27,27.46,750.18,1,1,28,0,2,1,0,0
10,23.73,230.98,5,1,14,1,2,1,1,0
7,96.91,684.17,1,3,4,0,2,1,0,0
1,82.77,81.91,5,5,14,1,0,0,1,1
58,96.73,5503.27,4,3,22,0,2,1,0,0
58,85.56,4928.8,1,0,15,0,0,1,0,0
26,109.28,2859.35,5,1,26,0,0,0,1,0
54,83.26,4371.52,4,3,22,0,2,0,0,0
38,40.05,1534.05,1,7,1,1,2,0,0,0
68,91.29,6439.6,2,9,15,2,2,0,1,0
67,94.45,6560.71,4,6,1,1,0,1,1,0
39,111.48,4496.17,4,4,29,1,1,0,0,0
12,84.16,989.9,3,8,4,2,2,1,0,0
53,59.1,3068.47,5,5,17,1,1,0,1,0
2,25.73,48.92,5,9,24,1,0,1,0,1
68,56.27,3684.59,1,1,5,0,2,1,1,0
18,47.35,850.27,2,2,21,2,2,0,1,0
9,70.21,649.11,1,1,23,2,0,0,0,1
24,87.13,2014.69,5,5,28,1,1,1,0,0
72,32.08,2345.83,1,5,14,0,2,0,1,0
45,59.32,2721.05,2,1,28,1,1,1,1,0
16,52.74,860.36,1,2,16,2,0,0,1,0
70,95.68,6668.95,2,2,28,2,0,0,1,0
32,101.59,3290.63,2,1,25,0,0,1,1,0
6,99.19,604.26,1,2,19,1,2,0,1,0
66,60.84,4207.54,3,7,14,1,1,0,1,0
69,101.63,7193.66,5,4,26,0,1,1,0,0
34,28.42,980.03,2,0,30,2,1,1,1,0
24,85.16,1990.69,5,5,17,1,2,0,0,0
12,43.98,548.96,2,7,16,0,2,0,0,0
2,116.01,236.13,1,2,16,0,1,0,0,1
50,105.01,5040.72,3,8,22,1,0,1,1,0
9,115.99,1078.26,5,7,22,0,1,0,1,1
68,117.03,7756.08,5,8,23,2,2,0,1,0
8,65.34,548.36,4,9,24,2,2,0,0,1
67,69.87,4896.36,3,6,6,1,2,1,1,0
14,106.88,1546.44,2,5,26,2,0,1,1,0
61,63.62,3726.93,1,0,8,0,2,0,0,0
7,79.02,544.15,2,1,6,1,2,0,1,0
57,36.31,2148.76,1,9,23,0,0,0,0,0
38,59.58,2366.21,5,7,7,1,2,0,1,0
29,20.3,607.49,5,9,10,2,2,0,1,0
31,49.28,1576.73,3,3,8,0,1,1,1,0
61,62.12,3945.38,2,3,9,0,1,1,1,0
18,96.14,1692.82,5,6,11,0,1,0,0,0
40,60.37,2351.44,5,2,3,1,2,0,1,0
62,119.35,7452.56,4,0,3,0,1,1,0,0
64,49.85,3075.89,3,0,12,1,2,0,1,0
72,80.76,5710.59,1,2,16,0,2,0,1,0
11,59.01,629.4,2,9,23,1,0,1,1,1
55,115.54,6073.56,4,8,6,0,0,1,0,0
36,21.94,784.74,4,7,6,0,2,0,0,0
40,33.6,1365.31,4,0,29,2,1,1,1,0
14,107.91,1549.48,2,5,20,0,2,0,1,0
6,118.33,693.42,2,6,25,0,1,1,1,1
16,50.23,784.57,3,1,11,0,2,0,0,0
70,70.17,5085.4,3,8,7,1,1,0,1,0
16,75.64,1234.15,1,4,28,2,1,1,0,0
57,101.07,5538.74,1,6,30,2,0,1,0,0
66,31.09,2088.18,4,2,12,0,0,0,0,0
65,29.17,1872.38,3,9,18,2,2,0,1,0
4,46.66,178.42,4,4,26,0,2,1,0,1
49,118.34,5801.76,5,0,4,1,0,0,0,0
45,29.72,1395.62,2,1,16,2,2,1,0,0
23,27.95,619.49,5,7,21,2,1,0,0,0
46,63.83,2966.84,4,2,5,2,2,0,1,0
10,54.14,549.33,2,6,20,1,1,0,0,1
4,51.44,202.61,4,5,2,0,2,0,0,0
68,68.04,4822.16,4,2,6,2,1,1,1,0
9,110.53,948.43,1,0,28,2,1,0,1,0
70,58.36,3953.87,3,6,25,2,2,0,0,0
8,87.18,675.92,5,7,25,0,1,1,1,1
43,93.11,3973.89,4,1,28,0,1,1,0,0
5,80.76,413.59,3,4,24,2,0,1,1,1
42,81.75,3597.21,2,1,4,2,1,0,0,0
33,100.42,3422.37,4,8,13,1,2,1,0,0
12,65.22,762.47,1,0,6,1,1,0,0,0
44,45.27,2055.39,2,4,27,1,0,0,1,0
22,20.13,437.79,3,4,13,2,2,1,1,0
21,63.37,1385.37,5,2,27,2,1,0,1,0
70,49.61,3356.41,2,0,29,2,1,0,0,0
27,94.26,2591.53,3,3,13,1,1,0,1,0
31,45.49,1361.73,5,5,22,0,0,0,1,0
16,108.37,1743.44,4,3,29,2,1,1,1,0
47,34.72,1642.93,5,5,1,0,1,1,0,0
8,60.09,466.47,4,9,10,2,2,1,0,0
10,107.37,1032.71,1,2,14,1,2,0,0,0
14,84.22,1155.99,3,2,19,2,0,1,0,0
48,47.16,2215.36,5,8,5,1,0,0,0,0
48,79.01,3737.78,3,5,24,1,1,1,1,0
2,70.25,135.48,5,3,25,0,0,1,1,1
58,21.92,1288.77,1,8,15,0,1,0,1,0
9,23.53,207.26,2,7,13,2,2,0,1,0
29,52.83,1518.76,5,5,6,0,1,0,0,0
70,62.92,4279.83,1,9,20,0,2,0,0,0
69,36.93,2640.61,1,0,3,1,1,0,1,0
53,52.97,2926.57,4,9,19,2,2,1,0,0
72,117.77,8303.48,5,4,19,1,0,0,1,0
39,107.3,4199.33,2,1,12,0,2,0,1,0
52,32.82,1734.31,2,5,3,1,2,0,1,0
12,60.51,736.47,4,7,29,2,2,1,1,0
49,117.7,5786.68,5,2,15,0,0,1,1,0
28,74.41,2159.67,4,7,24,0,1,1,0,0
12,56.91,649.52,2,2,19,2,1,0,0,0
64,51.14,3260.07,5,1,16,1,2,1,1,0
41,85.09,3401.47,4,8,11,1,1,0,0,0
47,55.68,2505.93,5,7,0,1,1,1,0,0
30,90.84,2748.33,2,8,2,0,0,0,0,0
1,118.76,117.69,3,4,11,2,0,0,0,1
18,25.38,454.17,3,2,8,2,1,1,1,0
54,113.41,6048.83,5,1,26,2,1,0,1,0
60,69.64,3979.34,1,6,28,1,1,0,0,0
8,82.92,668.56,3,1,13,1,0,1,1,1
62,75.6,4600.13,1,9,29,2,0,1,1,0
21,53.12,1148.56,4,9,3,0,2,1,1,0
61,42.34,2571.88,5,5,18,1,1,1,0,0
42,107.11,4446.01,3,5,4,2,2,0,0,0
71,83.65,6228.49,1,3,13,1,2,1,1,0
39,39.23,1529.01,1,8,17,0,1,0,1,0
7,37.39,260.52,4,3,29,1,1,0,1,0
24,77.38,1935.09,3,1,29,0,2,0,0,0
31,34.02,1084.45,2,4,16,1,2,1,0,0
41,20.53,826.62,5,1,11,2,1,0,1,0
40,36.61,1434.65,2,7,12,0,1,0,1,0
46,41.27,1970.86,4,2,4,2,0,0,0,0
45,53.24,2296.99,1,8,26,2,2,0,1,0
10,65.45,634.3,1,8,14,1,1,1,1,0
68,26.4,1824.48,2,7,8,0,0,0,0,0
10,50.33,521.32,5,7,12,1,1,0,0,1
8,33.95,279.62,5,0,3,2,0,1,0,0
21,64.56,1323.99,5,7,1,1,1,0,1,0
54,34.45,1805.21,1,8,22,0,2,0,0,0
15,24.09,354.4,5,4,19,0,2,0,0,0
54,118.14,6301.24,4,1,20,2,0,0,1,0
58,80.18,4457.6,4,4,21,2,2,0,0,0
31,105.73,3396.65,5,5,14,0,0,0,0,0
36,57.68,2097.91,2,2,29,0,0,0,1,0
66,79.54,5445.85,2,6,26,1,1,1,0,0
64,99.24,6186.84,3,2,22,2,2,1,0,0
38,113.85,4201.3,5,3,15,1,1,0,1,0
44,29.53,1290.72,1,6,27,0,2,0,1,0
67,82.09,5254.12,3,6,13,0,2,1,1,0
2,34.48,67.47,4,6,15,1,1,0,0,0
42,71.85,3049.53,2,2,9,2,0,1,0,0
1,65.7,63.52,5,2,12,2,1,0,1,1
29,101.29,2914.43,2,0,24,0,2,1,0,0
36,26.21,910.88,1,1,18,2,1,1,1,0
62,84.33,5483.7,2,1,20,1,1,0,1,0
64,71.73,4631.76,3,0,29,1,2,1,0,0
17,75.07,1299.44,5,9,0,1,2,0,0,0
15,97.47,1451.64,1,6,28,2,1,0,1,0
22,110.58,2527.15,1,3,21,0,0,0,0,0
37,76.78,2767.05,4,8,22,1,1,1,0,0
23,111.04,2674.72,1,4,22,2,1,1,1,0
9,65.14,557.56,2,7,12,0,0,1,1,1
10,86.74,848.48,2,2,14,0,1,1,1,1
60,83.06,4926.28,4,5,6,1,1,1,0,0
63,25.33,1519.38,2,2,29,0,2,0,0,0
46,81.0,3777.02,4,3,11,2,2,1,0,0
45,55.48,2521.43,3,3,23,1,1,0,1,0
49,94.63,4635.43,2,2,18,2,1,1,0,0
49,72.17,3589.97,5,4,14,2,1,0,1,0
18,40.14,741.75,2,3,0,0,1,1,1,0
50,105.8,5313.15,2,2,3,1,1,0,1,0
15,25.23,384.4,2,7,19,0,2,1,0,0
39,91.71,3725.0,2,2,30,2,0,1,0,0
7,47.57,324.75,3,3,27,0,0,0,0,1
56,80.49,4467.47,5,1,26,2,1,0,1,0
67,89.85,6280.94,3,9,9,0,0,1,1,0
19,34.74,641.99,1,1,2,0,2,1,1,0
14,30.5,417.29,1,9,29,1,2,1,1,0
44,82.7,3695.46,5,3,27,0,1,1,0,0
41,43.71,1861.81,2,1,1,1,1,0,1,0
18,76.73,1372.89,3,3,7,1,1,1,1,0
58,44.53,2661.94,4,6,26,1,0,0,1,0
55,21.92,1200.82,1,9,19,2,2,0,1,0
8,20.24,164.95,3,8,18,0,1,1,1,0
69,117.48,7825.08,4,8,0,1,1,0,0,0
1,92.6,95.47,3,4,26,1,0,0,0,1
48,86.8,4135.19,2,4,27,2,0,0,0,0
25,110.2,2816.23,4,9,26,2,0,1,1,0
20,88.69,1690.3,4,0,26,0,1,1,1,0
51,102.53,5232.58,3,0,13,1,2,1,1,0
10,51.76,512.72,2,0,24,2,1,0,0,0
30,99.25,2995.12,3,1,7,0,2,1,1,0
4,30.95,126.2,1,7,22,2,2,1,1,0
43,44.97,1883.46,2,0,4,1,0,1,0,0
58,56.33,3181.74,1,9,26,0,0,1,1,0
45,109.61,4921.98,2,6,20,1,2,1,1,0
52,77.56,3962.68,1,7,7,0,2,0,0,0
20,117.61,2403.02,1,5,6,2,1,0,0,0
65,55.62,3618.94,2,5,20,2,0,1,0,0
41,76.92,3067.66,4,0,7,1,2,1,0,0
48,90.07,4172.04,2,5,4,2,2,0,1,0
31,107.84,3301.08,3,3,16,2,2,1,0,0
65,91.88,5946.48,4,6,28,1,2,0,1,0
63,100.73,6322.9,4,1,24,1,0,0,1,0
33,97.23,3053.05,5,5,19,1,0,0,1,0
43,26.65,1119.47,1,5,6,0,1,1,1,0
3,55.85,169.88,4,9,20,1,1,0,0,1
1,72.63,73.54,3,8,25,2,2,1,0,1
15,77.41,1109.12,1,3,24,2,2,1,0,0
61,68.97,4341.06,5,7,10,0,2,0,1,0
27,34.97,946.34,5,8,26,1,0,0,0,0
19,28.01,543.44,5,2,27,2,0,0,0,0
18,74.88,1310.72,3,5,29,0,0,1,0,1
57,111.2,6582.98,2,9,1,2,2,0,0,0
8,80.73,642.48,5,7,9,0,1,1,0,1
18,49.19,917.14,5,3,25,0,1,1,0,0
45,82.0,3786.88,4,7,16,2,0,0,0,0
4,87.69,349.25,4,0,6,2,1,1,0,0
14,86.36,1242.27,4,1,25,0,2,0,0,1
18,107.33,1897.83,5,4,1,2,0,0,1,0
72,72.1,5181.34,1,3,10,0,0,0,0,0
13,39.48,538.34,5,9,23,1,0,0,0,1
44,54.31,2498.03,5,5,19,1,1,1,1,0
9,93.49,817.69,1,0,15,2,2,1,0,0
55,67.67,3705.12,4,2,3,0,0,0,1,0
38,100.47,3880.15,5,8,2,0,0,1,1,0
18,74.48,1346.49,4,6,7,2,0,0,1,0
3,42.07,125.57,3,9,9,1,1,0,0,1
6,60.94,358.76,3,7,29,2,0,0,0,1
10,30.37,297.56,5,0,4,0,2,1,1,0
10,68.95,683.43,3,6,28,0,2,1,1,0
62,80.09,4777.4,5,4,6,2,2,0,0,0
29,104.62,3174.06,1,2,18,0,0,1,1,0
55,70.49,3786.29,2,0,5,1,1,0,0,0
72,53.12,3771.58,2,9,20,1,2,1,0,0
25,25.97,638.64,2,2,25,2,0,1,1,0
60,109.66,6522.11,1,9,2,1,1,1,1,0
51,59.4,3091.51,2,8,25,0,1,1,1,0
8,28.39,236.67,3,9,23,2,1,0,0,1
14,92.07,1331.75,5,8,6,1,2,1,0,0
31,60.54,1860.17,4,5,0,1,1,0,0,0
35,24.42,896.59,2,1,14,1,2,0,1,0
61,66.81,4278.43,3,8,29,0,1,1,0,0
52,46.45,2377.74,2,1,0,2,2,1,1,0
64,51.57,3152.52,3,8,28,1,0,0,1,0
7,56.37,401.27,2,5,22,2,0,0,0,1
16,110.04,1745.02,5,5,20,0,1,1,0,0
72,72.0,5257.24,4,1,23,1,1,0,0,0
24,57.69,1440.43,1,1,29,1,0,0,1,0
42,20.75,889.61,3,0,14,2,2,1,0,0
32,73.06,2299.43,3,7,23,1,1,0,1,0
9,96.79,909.89,3,4,10,2,2,0,0,0
49,86.3,4300.86,4,6,8,1,1,1,1,0
32,61.56,2020.9,4,3,0,2,2,1,0,0
24,70.75,1734.41,4,3,4,2,0,1,1,0
70,71.17,5063.88,5,7,26,1,2,0,0,0
19,40.02,788.18,1,3,6,1,0,0,0,0
53,106.32,5877.02,4,9,18,0,2,0,0,0
50,68.94,3343.61,1,5,22,0,2,0,0,0
59,52.09,2984.27,3,5,22,2,1,0,0,0
51,68.6,3596.88,4,4,24,1,0,0,0,0
23,111.52,2609.35,4,9,5,2,0,0,1,0
12,51.39,602.13,3,7,24,2,1,1,1,0
55,23.15,1224.96,1,5,23,0,2,0,0,0
33,56.25,1911.21,5,1,20,2,1,0,1,0
44,97.67,4180.82,3,7,18,1,0,0,0,0
25,63.94,1542.14,5,6,6,0,2,1,1,0
34,55.78,1845.66,1,5,21,1,2,1,0,0
45,114.49,4894.77,1,7,16,2,1,1,0,0
35,74.71,2689.64,5,2,11,0,2,1,0,0
3,48.11,147.71,1,1,20,2,0,1,0,0
17,80.77,1379.79,2,5,6,2,0,0,1,0
21,86.02,1798.19,5,9,14,0,2,1,0,0
7,110.59,755.8,3,5,24,2,2,1,1,0
41,87.32,3488.84,4,2,15,2,0,0,0,0
34,71.0,2405.39,2,5,6,2,1,0,1,0
60,40.24,2489.88,4,2,18,2,2,0,0,0
18,95.15,1635.78,5,1,23,1,1,1,1,0
58,46.3,2781.95,1,4,10,0,0,1,0,0
7,61.5,449.8,3,2,16,0,1,1,1,0
40,91.69,3528.97,1,4,13,2,2,0,0,0
55,50.19,2883.01,1,7,30,1,1,1,0,0
56,71.64,3972.88,3,5,19,1,0,1,1,0
70,92.33,6498.9,1,8,19,2,1,0,1,0
44,60.38,2743.74,2,4,24,0,0,0,0,0
71,55.78,4056.44,3,5,11,2,2,0,0,0
31,24.7,792.22,5,7,22,2,0,1,1,0
8,93.24,780.45,2,2,30,1,1,0,0,1
32,84.83,2643.34,2,0,14,0,2,0,1,0
16,66.29,1094.21,3,2,9,2,0,1,0,0
72,87.79,6149.83,4,7,2,0,1,1,0,0
12,104.38,1305.76,4,2,18,1,0,1,0,1
14,96.33,1295.39,4,0,17,0,1,1,1,0
22,84.91,1826.96,1,9,8,0,1,1,1,0
62,64.86,4156.87,4,6,30,1,1,1,1,0
37,75.71,2691.5,3,6,22,2,1,1,1,0
35,32.59,1194.55,1,5,9,0,2,1,1,0
37,38.83,1457.38,3,0,9,0,0,1,1,0
58,60.42,3331.59,3,8,14,0,1,0,1,0
24,52.24,1216.11,3,0,3,2,2,1,1,0
37,70.65,2582.75,1,6,7,2,0,1,1,0
71,64.87,4757.08,2,0,5,2,2,1,0,0
13,37.3,503.58,2,9,16,2,1,1,0,0
50,101.14,5041.29,2,2,27,1,2,0,0,0
66,100.74,6883.0,3,2,20,1,0,0,0,0
68,73.44,4963.12,4,0,4,0,0,1,1,0
49,51.67,2585.01,1,8,30,2,1,1,1,0
9,119.69,1123.37,3,7,9,0,0,1,0,1
39,63.11,2492.96,5,9,0,0,2,0,1,0
59,25.4,1500.07,3,4,9,2,2,1,1,0
27,81.22,2157.27,1,7,6,0,1,1,1,0
70,70.07,4828.32,4,0,19,2,0,0,1,0
41,114.01,4676.02,4,5,21,2,0,1,1,0
55,88.17,4753.08,4,4,16,0,0,0,0,0
5,101.97,506.03,2,9,4,0,1,0,1,1
65,23.61,1568.14,2,0,9,2,2,1,0,0
63,72.54,4669.88,2,8,17,2,2,1,0,0
51,45.89,2393.41,3,9,21,1,1,0,1,0
15,48.98,708.0,3,9,0,1,2,1,0,0
61,43.62,2677.33,1,5,12,0,0,0,1,0
9,76.06,684.86,2,6,15,0,0,0,1,1
6,41.67,249.99,1,2,24,0,0,1,0,1
17,105.7,1827.34,2,4,9,0,2,1,1,0
19,37.47,743.7,2,2,23,1,2,1,0,0
16,92.21,1523.58,2,4,4,0,0,0,0,0
54,42.59,2253.98,2,5,29,0,0,0,1,0
45,47.86,2046.91,1,3,1,1,1,0,0,0
44,61.53,2735.82,3,6,26,2,1,0,1,0
22,22.61,504.96,5,9,0,2,1,0,0,0
4,30.66,126.72,2,1,24,0,2,1,1,0
44,31.04,1356.02,2,7,25,2,0,1,0,0
53,117.79,6433.57,2,0,28,2,2,0,1,0
32,55.47,1729.04,3,7,10,1,2,0,1,0
64,47.1,3019.15,2,6,14,1,0,1,0,0
59,44.03,2550.05,3,6,18,2,0,1,0,0
67,83.45,5335.68,4,5,8,0,0,0,0,0
10,116.41,1209.57,2,2,4,2,2,1,1,0
55,21.09,1163.23,1,8,30,0,0,0,0,0
28,88.65,2538.04,1,3,27,1,2,0,0,0
55,105.9,5606.86,4,4,13,1,2,1,0,0
25,106.99,2570.45,3,7,18,2,0,1,1,0
67,61.62,3941.7,4,3,0,0,1,0,1,0
72,80.67,5528.61,1,1,0,0,2,1,0,0
71,58.66,4221.23,1,0,25,2,0,0,1,0
64,119.24,7508.47,5,5,12,2,0,1,1,0
64,88.42,5755.75,1,1,3,0,0,1,0,0
18,58.86,1075.11,2,9,0,1,2,1,0,0
58,55.92,3085.2,4,6,30,2,0,0,0,0
58,114.68,6950.25,1,4,24,0,2,0,0,0
1,60.48,62.85,1,4,19,1,1,0,1,1
22,94.54,2067.18,4,6,16,1,1,0,0,0
69,104.46,6994.61,4,8,11,0,1,0,0,0
47,98.1,4727.88,3,8,11,1,1,1,1,0
59,52.71,3070.94,1,9,18,1,0,0,0,0
24,23.42,544.63,4,7,18,0,1,1,1,0
13,88.81,1207.08,3,3,7,2,0,1,1,0
53,68.99,3785.69,5,1,7,2,0,0,1,0
56,116.12,6790.75,4,8,4,2,2,0,0,0
51,32.04,1678.96,1,6,18,2,1,1,1,0
18,89.04,1533.91,3,9,18,2,0,0,1,0
21,30.08,628.18,5,5,28,2,0,1,1,0
54,80.19,4518.45,1,0,5,1,0,1,1,0
38,91.29,3412.78,5,3,22,2,1,1,1,0
68,37.02,2503.77,5,7,21,0,1,1,1,0
41,39.69,1664.28,5,9,0,0,2,1,0,0
35,31.15,1049.98,4,4,9,1,0,0,0,0
37,64.3,2317.18,2,9,12,0,1,1,0,0
23,44.91,1067.36,3,4,11,1,0,1,1,0
13,65.29,834.22,3,6,3,2,1,0,0,0
26,54.79,1387.94,3,1,18,1,2,1,0,0
57,70.55,4125.43,5,0,21,0,2,1,0,0
4,30.79,128.1,4,0,24,2,1,1,0,0
53,27.57,1474.11,5,6,20,2,0,1,1,0
33,89.42,2851.36,2,7,16,0,2,1,1,0
7,77.9,552.7,5,6,22,0,1,1,0,1
64,80.28,5072.65,5,3,30,0,2,1,1,0
12,63.78,754.83,5,1,11,1,2,1,0,0
54,46.84,2607.22,3,9,28,2,2,0,1,0
60,20.03,1167.45,5,0,28,2,1,0,0,0
64,102.72,6314.17,1,9,16,1,0,1,0,0
44,21.29,919.06,2,8,24,2,0,0,0,0
1,75.39,75.51,5,7,17,2,2,1,0,1
53,118.3,6226.6,4,0,20,1,1,0,1,0
16,80.11,1226.9,2,6,18,2,1,1,1,0
5,96.34,481.19,2,6,15,0,1,1,0,1
